debut : 2020-06-06 10:36:50.374065
Evaluation data set is:[0]
Evaluation data set is:../CorpusAnnote3cat/groupsAll/group0
true positives:	وأنا المرأة القادمة من الشرق.	23	28	الشرق	LOC-Admin
true positives:	أما طلبة الحقوق فلست من أمرهم على يقين، لأني لم أدخل كلية الحقوق في باريس إلا زائرًا، ويظهر مما رأيت أن طلبة الحقوق أقرب إلى الأندية والمراقص من طلبة العلوم والآداب، ولكنهم على كل حال يُعدون أنفسهم لمهن المحاماة ومناصب القضاء، وتلك أودية من وجهات الرزق كثُر فيها الزحام وقل فيها الثراء، ولهذا يمشون مثقلين بما ينتظرون من مصاعب الحياة.	53	64	كلية الحقوق	LOC-Build
true positives:	والمسيو بلانشو — سكرتير اتحاد الطيران في باريس — آية من آيات النبل والخلق العظيم، وابنة خاله الآنسة سوزان مثال أعلى لسلامة الذوق وكرم النفس وحياة الوجدان.	41	46	باريس	LOC-Admin
true positives:	وفي الوقت الذي أوشكت السنة الدراسية على الامتحانات أتتني برقية من الجزائر، تطلب والدتي فيها حضور زوجي على الفور.	66	73	الجزائر	LOC-Admin
true positives:	كانت هجرة الروس البيض تصل أمواجها، الواحدة تلو الأخرى إلى باريس، أحيانا بعد منعرجات ومنعطفات طويلة، وكان الرجل الذي أشار إليه صديقي من أولئك المهاجرين، قد قذفته الثورة بعيدا عن وطنه، وكان كثير من مواطنيه النبلاء يصلون مثله إلى باريس فيلبسون لباس سائق سيارة الأجرة، أو يفتحون مطعماً روسيا.	58	63	باريس	LOC-Admin
False negatives:	كانت هجرة الروس البيض تصل أمواجها، الواحدة تلو الأخرى إلى باريس، أحيانا بعد منعرجات ومنعطفات طويلة، وكان الرجل الذي أشار إليه صديقي من أولئك المهاجرين، قد قذفته الثورة بعيدا عن وطنه، وكان كثير من مواطنيه النبلاء يصلون مثله إلى باريس فيلبسون لباس سائق سيارة الأجرة، أو يفتحون مطعماً روسيا.	282	287	روسيا	LOC-Admin
true positives:	تصوروا میدان كنكورد بفنائه الشاسع يقلع ويدور حول المسلة التي في وسطه، منذ أتى بها نابليون من مصر.	93	96	مصر	LOC-Admin
False positives:	تصوروا میدان كنكورد بفنائه الشاسع يقلع ويدور حول المسلة التي في وسطه، منذ أتى بها نابليون من مصر.	7	19	میدان كنكورد	LOC-Admin
False negatives:	تصوروا میدان كنكورد بفنائه الشاسع يقلع ويدور حول المسلة التي في وسطه، منذ أتى بها نابليون من مصر.	7	26	میدان كنكورد بفنائه	LOC-Admin
False positives:	اعلم أن قوت أهل المدينة هو الحِنطة، وهي في الغالب صغيرة الحبوب، إلا إذا كانت منقولة من البلاد الغريبة فيطحنونها في طواحين الهواء والماء، ويخبزونها عند الفران فيباع الخبز في دكانه، وسائر الناس لها مرتب يومي تشتريه من الخباز، وعلة ذلك توفير الزمان والاقتصاد فيه؛ لأن سائر الناس مشغولون في أشغال خاصة؛ فصناعة العيش في البيوت تشغلهم.	29	34	حِنطة	LOC-Admin
False positives:	كيف لا، وقد كنت أسير في طريق الشانزليزيه (أي جنات النعيم) والأشجار متناسقة متتابعة على ستة صفوف بين صنوان وغير صنوان.	24	40	طريق الشانزليزيه	LOC-Path
true positives:	فقد كان موظف الاستقبال في الفندق عربياً من تونس يدرس صباحاً الكمبيوتر ويعمل في الليل داخل الفندق، ليستطيع أن يجابه مصاريف الحياة والدراسة رحب بي بالعربية واعطاني غرفة صغيرة في الطابق الأخير في الفندق.	43	47	تونس	LOC-Admin
False positives:	(أ) الواجهة الخلفية للتياترو.	4	28	الواجهة الخلفية للتياترو	LOC-Build
False negatives:	(أ) الواجهة الخلفية للتياترو.	4	19	الواجهة الخلفية	LOC-Build
False positives:	ومهما كان الأمر فإنني أكلت منه.	452	458		LOC-Admin
true positives:	فانتحر ذلك اليوم أو في اليوم التالي، نائب مدينة بایون في مجلس الأمة الفرنسي.	57	75	مجلس الأمة الفرنسي	LOC-Build
False positives:	فانتحر ذلك اليوم أو في اليوم التالي، نائب مدينة بایون في مجلس الأمة الفرنسي.	42	53	مدينة بایون	LOC-Admin
true positives:	أما التلغراف: فله مكتب واحد في الدور الثالث من برج إيفل، وفي كل دور من أدوار هذا البرج توجد غرفة تلفونية مخصصة لخدمة الجمهور.	47	55	برج إيفل	LOC-Build
true positives:	ويكاد يظن زوار باريس أنها هكذا خُلقت، وأن الباريسيين قوم أنعم الله عليهم بهذه المدينة العجيبة التي لم يُخلق مثلُها في البلاد، وكأنه لم يَشْق في بنائها ساعد ولم يعرق جبين.	15	20	باريس	LOC-Admin
true positives:	أو حي الأوبرا التجاري المشهور بأسواقه الضخمة كاللافابیت والبرانتون ومئات البوتيكات المتناثرة هنا وهناك..	3	13	حي الأوبرا	LOC-Admin
False positives:	أو حي الأوبرا التجاري المشهور بأسواقه الضخمة كاللافابیت والبرانتون ومئات البوتيكات المتناثرة هنا وهناك..	46	55	اللافابیت	LOC-Build
true positives:	وقال معاوية: «إنهم أشباه البهائم، إن جاعوا ساموا وإن شبعوا ناموا»، وهم نحو ذلك في الشرق إلى الآن إلا في بعض البلاد الراقية.	82	87	الشرق	LOC-Admin
False positives:	وقال معاوية: «إنهم أشباه البهائم، إن جاعوا ساموا وإن شبعوا ناموا»، وهم نحو ذلك في الشرق إلى الآن إلا في بعض البلاد الراقية.	108	122	البلاد الراقية	LOC-Admin
true positives:	وأما الثاني، فإنه لبث في مصر وعاشر علماءها وأدباءها.	25	28	مصر	LOC-Admin
False positives:	وبدأت السنة الدراسية تأخذ منعطفها الأخير، دون أن أبْذُل في دروسي العُشر من الوقت الذي بذلته لاستماع خطب الطوريس، وقصائد إخواننا الشعراء السوريين، ولمناقشاتنا السرية في جمعية الوحدة العربية.	168	188	جمعية الوحدة العربية	LOC-Build
true positives:	وكذلك من ميسرات المعاملة كون نقود البلاد الأجنبية لا يتعامل بها في البيع والشراء في لندرة، وإنما يمكن صرفها عند بعض الصيارفة، ولا تغير لأسعار نقودهم قطعًا كما يقع في بعض البلاد، كما لا تغيير لأسعار البياعات، فإنك إذا أردت أن تشتري شيئًا من عند تاجر لم تجرِ العادة باستحطاطه من الثمن، ولا سيما إذا كان المبلغ زهيدًا، وبذلك يحصل راحة للبائع والشاري ونعمت العادة.	84	89	لندرة	LOC-Admin
true positives:	وقد أتمت هذه الممشاة، لكن الحكومة لم ترضَ به، وظهر لها خلل فيه، وأوعز مهندسوها إلى الشركة المذكورة بتلافيه، ولذلك يحمد القوم هذه العناية الربانية، فلولاها لكان الخطر أكبر والمصيبة مضاعفة؛ إذ كان الناس يزدحمون عليها ازدحامًا فوق العادة، كما هو شأنهم في الإقبال على كل جديد، خصوصًا في پاريس، وعلى الأخص في المعرض، فكان عدد القتلى يعد حينئذ بالألوف من فوقها ومن تحتها.	283	288	پاريس	LOC-Admin
False positives:	اعلم أن عادة المسافرين من مرسيليا إلى باريس بالعربات أن يستأجروا العربة أو موضعًا فيها، فأما أن يأكلوا على كيسهم أو يدفعوا قدرًا معلومًا للعربة ١ والقوت مدة الطريق.	29	36	يليا إل	LOC-Admin
False negatives:	اعلم أن عادة المسافرين من مرسيليا إلى باريس بالعربات أن يستأجروا العربة أو موضعًا فيها، فأما أن يأكلوا على كيسهم أو يدفعوا قدرًا معلومًا للعربة ١ والقوت مدة الطريق.	38	43	باريس	LOC-Admin
true positives:	وفي باريس بيوت حكماء معدة لمن ابتلي بخلل شيء من عظام البدن؛ كالأحديداب فإنه يدخل بيتًا من هذه البيوت للتطبيب، فيقومون بدنه بشيء من علم الحيل، كما إذا كان إنسان مقطوع أحد الأطراف، فإنهم يجبرون ذلك بأن يضعوا له من المعدن أو الخشب شيئًا في محله.	4	9	باريس	LOC-Admin
true positives:	وعن اليسار: قصر الأمومة (أي الأعمال الخاصة بالأمهات)، قصر مملكة صيام، قصر العجلات والدرَّاجات المتحركة بنفسها، قصر كلوب الألپ، سراي الأزياء في الملبوسات، قصر جمهورية سان مارين، قصر المناجم والمعادن، قصر الخيوط والمنسوجات والأثواب.	12	23	قصر الأمومة	LOC-Build
False positives:	وعن اليسار: قصر الأمومة (أي الأعمال الخاصة بالأمهات)، قصر مملكة صيام، قصر العجلات والدرَّاجات المتحركة بنفسها، قصر كلوب الألپ، سراي الأزياء في الملبوسات، قصر جمهورية سان مارين، قصر المناجم والمعادن، قصر الخيوط والمنسوجات والأثواب.	54	68	قصر مملكة صيام	LOC-Build
False negatives:	وعن اليسار: قصر الأمومة (أي الأعمال الخاصة بالأمهات)، قصر مملكة صيام، قصر العجلات والدرَّاجات المتحركة بنفسها، قصر كلوب الألپ، سراي الأزياء في الملبوسات، قصر جمهورية سان مارين، قصر المناجم والمعادن، قصر الخيوط والمنسوجات والأثواب.	54	63	قصر مملكة	LOC-Build
true positives:	ولم تكن تبسة تعرضْ مثل هذه الجرائم على محكمة جنح الأطفال، وإنما كانت تصفيها حسب العرف.	8	12	تبسة	LOC-Admin
False positives:	ولم تكن تبسة تعرضْ مثل هذه الجرائم على محكمة جنح الأطفال، وإنما كانت تصفيها حسب العرف.	39	56	محكمة جنح الأطفال	LOC-Build
true positives:	ويقال إنه يلزم لكل نفر من عساكر فرنسا وإنكلترة رطلان وربع رطل من الطعام، في كل يوم منها نحو ثلاثة أرباع خضرة والباقي لحم وخبز، فيبلغ ذلك في السنة ثمانمائة رطل، فإذا أضفت إلى ذلك مشروبه من الماء والقهوة والشاي والمسكرات يبلغ ألفًا وخمسمائة رطل.	32	37	فرنسا	LOC-Admin
False positives:	ويقال إنه يلزم لكل نفر من عساكر فرنسا وإنكلترة رطلان وربع رطل من الطعام، في كل يوم منها نحو ثلاثة أرباع خضرة والباقي لحم وخبز، فيبلغ ذلك في السنة ثمانمائة رطل، فإذا أضفت إلى ذلك مشروبه من الماء والقهوة والشاي والمسكرات يبلغ ألفًا وخمسمائة رطل.	39	46	إنكلترة	LOC-Admin
true positives:	أما فوج الشرق القسنطيني فكان مثلي من ركاب الدرجة الرابعة، يقضي ليلته على العنبر فتفاجئه صباح الغد حملة تنظيف الباخرة وتطرده من سباته مع حاجاته وحقائبه، سيول الماء الموجهة ومكانس المنظفين؛ ثم تقلع الباخرة من جديد نحو ميناء عنابة حيث ينزل آخر راكب لينقلب عشية إلى وجهته في شرق العمالة.	8	23	الشرق القسنطيني	LOC-Admin
False positives:	أما فوج الشرق القسنطيني فكان مثلي من ركاب الدرجة الرابعة، يقضي ليلته على العنبر فتفاجئه صباح الغد حملة تنظيف الباخرة وتطرده من سباته مع حاجاته وحقائبه، سيول الماء الموجهة ومكانس المنظفين؛ ثم تقلع الباخرة من جديد نحو ميناء عنابة حيث ينزل آخر راكب لينقلب عشية إلى وجهته في شرق العمالة.	216	227	ميناء عنابة	LOC-Path
False negatives:	أما فوج الشرق القسنطيني فكان مثلي من ركاب الدرجة الرابعة، يقضي ليلته على العنبر فتفاجئه صباح الغد حملة تنظيف الباخرة وتطرده من سباته مع حاجاته وحقائبه، سيول الماء الموجهة ومكانس المنظفين؛ ثم تقلع الباخرة من جديد نحو ميناء عنابة حيث ينزل آخر راكب لينقلب عشية إلى وجهته في شرق العمالة.	216	227	ميناء عنابة	LOC-Build
False positives:	لكي يقف القارئ على جسامة المعرض الحالي أُورِدُ له مسطحات المعارض السابقة في پاريس ليتمكن من المقارنة.	278	283		LOC-Admin
False negatives:	لكي يقف القارئ على جسامة المعرض الحالي أُورِدُ له مسطحات المعارض السابقة في پاريس ليتمكن من المقارنة.	76	81	پاريس	LOC-Admin
False positives:	وقناطر هذا النهر بباريس ست عشرة قنطرة، فمنها قنطرة تسمى قنطرة بستان النباتات، ولها أربعمائة (ص ٥٥) قدم من الطول وعرضها سبعة وثلاثون قدمًا، ولهذه القنطرة خمسة قواصير من الحديد محكمة ومسندة على حجارة من أحجار النحاتة، وقد بنيت هذه القنطرة في خمس سنوات، وصرف فيها ثلاثون مليونًا من الفرنكات، يعني ثلاثين ألف ألف فرنك، وتسمى هذه القنطرة: قنطرة استرلتز، سميت بذلك باسم محل غلب فيه نابليون ملك النيمسا والموسقو، فيقال لهذه الواقعة واقعة: استرلتز.	18	23	باريس	LOC-Admin
False negatives:	وقناطر هذا النهر بباريس ست عشرة قنطرة، فمنها قنطرة تسمى قنطرة بستان النباتات، ولها أربعمائة (ص ٥٥) قدم من الطول وعرضها سبعة وثلاثون قدمًا، ولهذه القنطرة خمسة قواصير من الحديد محكمة ومسندة على حجارة من أحجار النحاتة، وقد بنيت هذه القنطرة في خمس سنوات، وصرف فيها ثلاثون مليونًا من الفرنكات، يعني ثلاثين ألف ألف فرنك، وتسمى هذه القنطرة: قنطرة استرلتز، سميت بذلك باسم محل غلب فيه نابليون ملك النيمسا والموسقو، فيقال لهذه الواقعة واقعة: استرلتز.	62	76	بستان النباتات	LOC-Natur
False positives:	ومدارس الحكمة بمدينة باريس منافعها شهيرة؛ فمنها مدرسة كبيرة تسمى أكدمة الصكمة السلطانية، وهي ديوان الحكماء السلطانية وهي مجعولة لحاجة المملكة الفرنسية، ومباشرة الأمراض العامة الضرر، كالأمراض الوبائية، والأمراض التي يعتقد الفرنساوية أنها معدية، وكمرض فصل البهائم.	15	26	مدينة باريس	LOC-Admin
False negatives:	ومدارس الحكمة بمدينة باريس منافعها شهيرة؛ فمنها مدرسة كبيرة تسمى أكدمة الصكمة السلطانية، وهي ديوان الحكماء السلطانية وهي مجعولة لحاجة المملكة الفرنسية، ومباشرة الأمراض العامة الضرر، كالأمراض الوبائية، والأمراض التي يعتقد الفرنساوية أنها معدية، وكمرض فصل البهائم.	134	150	المملكة الفرنسية	LOC-Admin
true positives:	والواقع أن الفتيات الأوروبيات يستفدن من الحرية الشخصية في باريس، حيث لا يتقدم أحد مطلقًا لإزعاج العشاق، ففي باريس ألوف مؤلفة من الرومانيات، والنمسويات، والألمانيات، والإيطاليات، والإسبانيات، إلى آخر ما تعرف من الشعوب الأوربية والأمريكية، وكل تلك الروافد تنصب في باريس، فهي ملتقى طلاب الغواية من جميع الأجناس.	58	63	باريس	LOC-Admin
False positives:	هذا العام تغيّرت طبيعة الاحتفال وطغى عليها الطابع التنظيمي بعد أن كان الجميع ينزلون إلى الشارع شباباً وشيوخاً واطفالاً كلّ يحمل آلته الموسيقية ويختار اي مكان يعزف فيه، فتتحول الساحات العامة إلى مسارح وسرادق خاصة تتألق بأضوائها، البوليس يقطع حركة المرور امام عبور السيارات في هذه المناطق، وكل بلديات باريس تتفنن في اختيار فرقها الموسيقية.	292	304	بلديات باريس	LOC-Build
False negatives:	هذا العام تغيّرت طبيعة الاحتفال وطغى عليها الطابع التنظيمي بعد أن كان الجميع ينزلون إلى الشارع شباباً وشيوخاً واطفالاً كلّ يحمل آلته الموسيقية ويختار اي مكان يعزف فيه، فتتحول الساحات العامة إلى مسارح وسرادق خاصة تتألق بأضوائها، البوليس يقطع حركة المرور امام عبور السيارات في هذه المناطق، وكل بلديات باريس تتفنن في اختيار فرقها الموسيقية.	299	304	باريس	LOC-Admin
False positives:	كانت المدينة تموج على أثر استقالة كل نوابها، على مختلف درجاتهم، وكان حشيشي مختار يصول ويجول في النادي، وكان دكان سي الصادق بو ذراع كصندوق الصدى لكل ما يحدث في الوطن.	108	130	دكان سي الصادق بو ذراع	LOC-Build
False negatives:	كانت المدينة تموج على أثر استقالة كل نوابها، على مختلف درجاتهم، وكان حشيشي مختار يصول ويجول في النادي، وكان دكان سي الصادق بو ذراع كصندوق الصدى لكل ما يحدث في الوطن.	108	122	دكان سي الصادق	LOC-Build
False positives:	وبها، يعني ببلاد آسيا العرب، وهم أفضل القبائل على الإطلاق، ولسانهم أفصح الألسن باتفاق، وفيهم بنو هاشم، الذين هم مُلَح الأرض، وزُبَدة المجد، ودرع الشرف.	12	21	بلاد آسيا	LOC-Admin
true positives:	وقد حاولت خلال حياتي في باريس، أن أخلق نوعاً من الالفة، مع الكلاب، سواء منها النوع الصغير الذي يشبه الفئران إلى النوع الذي يصل بحجمه إلى حجم حمار أو دب صغير.	24	29	باريس	LOC-Admin
true positives:	وفي نهاية المطاف أصبح محمد الفاسي وبلفريج والطوريس يمثلون مراكش في الوحدة وبن ميلاد مع بعض مواطنيه يمثلون تونس، وأصبحت أنا أمثل الجزائر.	58	63	مراكش	LOC-Admin
False positives:	أو أتمشى تحت لسعات البرد القارصة على جسر نهر السين وافكاري تتخبط في رأسي كأمواج البحر.	41	50	نهر السين	LOC-Build
False negatives:	أو أتمشى تحت لسعات البرد القارصة على جسر نهر السين وافكاري تتخبط في رأسي كأمواج البحر.	41	50	نهر السين	LOC-Natur
true positives:	وإذا كان لا بد للحكومة المصرية، أو الآباء من إرسال أبنائهم إلى مدارس فرنسا، فمن الخطأ إرسالهم إلى باريس وتعريضهم لتلك الأخطار.	69	74	فرنسا	LOC-Admin
False positives:	وإذا كان لا بد للحكومة المصرية، أو الآباء من إرسال أبنائهم إلى مدارس فرنسا، فمن الخطأ إرسالهم إلى باريس وتعريضهم لتلك الأخطار.	98	103	باريس	LOC-Admin
False positives:	وقد أخذ صديقي باقة زهور طبقا للعرف الذي كنت أجهله، لأننا بـتبسة أو أفلو عندما ندعى لمأدبة، نذهب لنأكل کسکوسي ونشرب لبناً دون أن نفكر في الزهور لسيدة البيت، ولم يكن مع هذا ليفوتني رونق ورِقة العرف في الوسط الجديد.	58	63	ـتبسة	LOC-Admin
False negatives:	وقد أخذ صديقي باقة زهور طبقا للعرف الذي كنت أجهله، لأننا بـتبسة أو أفلو عندما ندعى لمأدبة، نذهب لنأكل کسکوسي ونشرب لبناً دون أن نفكر في الزهور لسيدة البيت، ولم يكن مع هذا ليفوتني رونق ورِقة العرف في الوسط الجديد.	57	63	بـتبسة	LOC-Admin
true positives:	كانت أمي من هذه الطبقة التي حركت قبل قرن، عجلة الرخاء في العهد الاقتصادي الجديد، ولكنني وجدتها في الفترة التي بدأت فيها عملية الرخاء تطحنُ مَنْ حَرَّكَها، كانت الفترة صعبة جداً بالنسبة إلى هؤلاء المتقاعدين، لأن فرنسا كانت لاتزال تعاني رواسب الأزمة الاقتصادية الكبرى التي اجتاحت العالم سنة 1929، وكان أثرها في الجزائر ما كان، حتى تخلصنا أنا وصهري من المطحنة ذات الرحا التي أسسناها بدوار جساس، وطحنتنا في آخر المطاف.	211	216	فرنسا	LOC-Admin
False positives:	كانت أمي من هذه الطبقة التي حركت قبل قرن، عجلة الرخاء في العهد الاقتصادي الجديد، ولكنني وجدتها في الفترة التي بدأت فيها عملية الرخاء تطحنُ مَنْ حَرَّكَها، كانت الفترة صعبة جداً بالنسبة إلى هؤلاء المتقاعدين، لأن فرنسا كانت لاتزال تعاني رواسب الأزمة الاقتصادية الكبرى التي اجتاحت العالم سنة 1929، وكان أثرها في الجزائر ما كان، حتى تخلصنا أنا وصهري من المطحنة ذات الرحا التي أسسناها بدوار جساس، وطحنتنا في آخر المطاف.	381	390	دوار جساس	LOC-Admin
true positives:	ولقد تعودت في الأعوام الماضية أن أشهد الحفلة القومية التي يعرض فيها الجيش صباحًا في ساحة النجم عند قبر الجندي المجهول، فبكرت من يومي هذا أسابق الناس إلى ذلك الميدان لعلي أجد مكانًا صالحًا أقضي فيه ساعات الاستعراض، ولكني علمت مع الأسف أن مجلس الوزراء قرر إلغاء هذه الحفلة في هذا العام فرارًا من وقدة الحر الذي هاجم باريس منذ يومين اثنين، وكنا في بداية هذا الصيف نشكو شدة البرد.	314	319	باريس	LOC-Admin
False positives:	ولقد تعودت في الأعوام الماضية أن أشهد الحفلة القومية التي يعرض فيها الجيش صباحًا في ساحة النجم عند قبر الجندي المجهول، فبكرت من يومي هذا أسابق الناس إلى ذلك الميدان لعلي أجد مكانًا صالحًا أقضي فيه ساعات الاستعراض، ولكني علمت مع الأسف أن مجلس الوزراء قرر إلغاء هذه الحفلة في هذا العام فرارًا من وقدة الحر الذي هاجم باريس منذ يومين اثنين، وكنا في بداية هذا الصيف نشكو شدة البرد.	84	94	ساحة النجم	LOC-Admin
False positives:	يسمون المحلفين والكلمة فرنسية الأصل Jurés.	28	31	ة ا	LOC-Admin
False positives:	وكان خاصة شاب يهودي تخرج فيما بعد الأول في فوجه، كان قد قدم للتحصيل على التكنية من أجل تأسيس وطن يهودي بفلسطين، لا أتذكر اسمه وإنما أتذكر أنه يستحق التقدير أكثر من أي طالب عربي اسمه س في ذلك الجيل التائه؛ كان يعكف في القسم عندما يخرج منه أقرانه في الساعة الثانية عشرة، فيأخذ من حقيبته قطعةْ خبز، ويبدأ يتناول لقمة من الخبز اليابس ونصيباً من دروس الصباح، كان هكذا يراجع مواد الدروس في يومها كل يوم، حتى يرجع الطلبة من الغداء، وربما أثناء تناوله الخبز اليابس والرياضيات، يفكر في الشيء الذي يصنعه على ضفة البحر الميت...	104	110	فلسطين	LOC-Admin
False negatives:	وكان خاصة شاب يهودي تخرج فيما بعد الأول في فوجه، كان قد قدم للتحصيل على التكنية من أجل تأسيس وطن يهودي بفلسطين، لا أتذكر اسمه وإنما أتذكر أنه يستحق التقدير أكثر من أي طالب عربي اسمه س في ذلك الجيل التائه؛ كان يعكف في القسم عندما يخرج منه أقرانه في الساعة الثانية عشرة، فيأخذ من حقيبته قطعةْ خبز، ويبدأ يتناول لقمة من الخبز اليابس ونصيباً من دروس الصباح، كان هكذا يراجع مواد الدروس في يومها كل يوم، حتى يرجع الطلبة من الغداء، وربما أثناء تناوله الخبز اليابس والرياضيات، يفكر في الشيء الذي يصنعه على ضفة البحر الميت...	498	507	ضفة البحر	LOC-Natur
true positives:	وإنما سمي بذلك؛ لأنه داخل الأراضي الناشفة، بخلاف البحر المحيط، فإنه محيط بجميع الأراضي، حتى قال بعضهم: إنه متواصل الجريان تحت الأراضي العالية على سطح مائه، وإن حقق بعضهم خلافه لوجود الأراضي اليابسة تحت سطحه؛ كبعض أراضي الموسقو.	49	61	البحر المحيط	LOC-Natur
true positives:	وانتهت المأساة بظهور حي مونبارناس، وبهذا أصبحت لا ترى في الحي اللاتيني وجهًا صبوحًا ولا طلعة بهية، إلا في ساعات خاصة من الصباح والمساء، فإذا انتهى وقت الدرس مضت أزهار الشباب إلى ملاهي مونمارتر ومونبارناس، وبقي الحي اللاتيني هامدًا لا روح به ولا حراك.	21	33	حي مونبارناس	LOC-Admin
False positives:	وانتهت المأساة بظهور حي مونبارناس، وبهذا أصبحت لا ترى في الحي اللاتيني وجهًا صبوحًا ولا طلعة بهية، إلا في ساعات خاصة من الصباح والمساء، فإذا انتهى وقت الدرس مضت أزهار الشباب إلى ملاهي مونمارتر ومونبارناس، وبقي الحي اللاتيني هامدًا لا روح به ولا حراك.	178	192	ملاهي مونمارتر	LOC-Build
False negatives:	وانتهت المأساة بظهور حي مونبارناس، وبهذا أصبحت لا ترى في الحي اللاتيني وجهًا صبوحًا ولا طلعة بهية، إلا في ساعات خاصة من الصباح والمساء، فإذا انتهى وقت الدرس مضت أزهار الشباب إلى ملاهي مونمارتر ومونبارناس، وبقي الحي اللاتيني هامدًا لا روح به ولا حراك.	178	192	ملاهي مونمارتر	LOC-Admin
true positives:	وهناك بحر آخر يسمى بالبحر الأبيض وهو بلاد الموسقو، وهو المراد بالبحر الأبيض، في إطلاقات علماء الجغرافية.	37	49	بلاد الموسقو	LOC-Admin
False positives:	وهناك بحر آخر يسمى بالبحر الأبيض وهو بلاد الموسقو، وهو المراد بالبحر الأبيض، في إطلاقات علماء الجغرافية.	20	32	البحر الأبيض	LOC-Natur
False negatives:	وهناك بحر آخر يسمى بالبحر الأبيض وهو بلاد الموسقو، وهو المراد بالبحر الأبيض، في إطلاقات علماء الجغرافية.	6	13	بحر آخر	LOC-Natur
true positives:	أرّدد وانا اعبر نفق المترو الطويل يامال الشام يلا يامالي طال المطال يا حلوة تعالي.	40	45	الشام	LOC-Admin
False positives:	أرّدد وانا اعبر نفق المترو الطويل يامال الشام يلا يامالي طال المطال يا حلوة تعالي.	16	33	نفق المترو الطويل	LOC-Path
true positives:	وفرنسا كثيرة المعامل واسعة التجارة ولها في الصناعة الدقيقة القدح المعلى، ولبضائعها شهرة طائرة في الجمال وسلامة الذوق، وهي قدوة الأمم المتمدينة في الأزياء من الملابس وغيرها، وعاصمتها باريس مرجع أمم الأرض في كل ذلك مما هو مشهور لا يحتاج إلى بيان.	182	187	باريس	LOC-Admin
